,CO,IA,MA,MT,NE,NJ,WI,AZ,IL,MD,MO,TX
,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,lobbying,testimony,testimony,testimony,testimony,testimony
target_ftm,,,,,,,,,,,,
CONSTRUCTION_SPECIAL TRADE CONTRACTORS,-0.01812428078250863,0.0,-0.0012547051442910915,0.0,0.0,-0.014018691588785047,-0.017777777777777778,-0.06766917293233082,-0.00931900319778993,0.0,-0.0003205128205128205,-0.0035772357723577236
DEFENSE_DEFENSE AEROSPACE,0.0,-0.004291845493562232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFENSE_MISCELLANEOUS DEFENSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007757951900698216,0.0,0.0,-0.0065040650406504065
ENERGY & NATURAL RESOURCES_ALUMINUM MINING & PROCESSING,-0.0011507479861910242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENERGY & NATURAL RESOURCES_COMMERCIAL FISHING,0.0,0.0,0.0,0.0,0.0,-0.003115264797507788,0.0,0.0,0.0,0.0,0.0,0.0
ENERGY & NATURAL RESOURCES_ELECTRIC UTILITIES,-0.04279686558167571,-0.06273668265589497,-0.017787290574950182,-0.06369047619047619,-0.08635394456289978,-0.01557632398753894,-0.07013888888888889,-0.10311493018259935,-0.013835014222911819,-0.020387285348922177,-0.02403846153846154,-0.00986100183582481
ENERGY & NATURAL RESOURCES_ENVIRONMENTAL SERVICES & EQUIPMENT,0.0,0.0,0.0,0.0,0.0,-0.024922118380062305,0.0,0.0,-0.004784070338763899,-0.001680672268907563,-0.006410256410256411,0.0
ENERGY & NATURAL RESOURCES_HUNTING,-0.0011507479861910242,0.0,0.0,-0.002380952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016260162601626016
ENERGY & NATURAL RESOURCES_MINING,-0.05972382048331415,-0.004291845493562232,0.0,-0.035897435897435895,-0.007462686567164179,0.0,-0.024074074074074074,-0.048335123523093444,-0.05003878975950349,-0.0033613445378151263,0.0,-0.006178861788617886
ENERGY & NATURAL RESOURCES_MISCELLANEOUS ENERGY,-0.0018905145487423968,-0.005131554394476582,-0.0016219359182299475,-0.010714285714285713,-0.00826226012793177,-0.008887667216419277,-0.019444444444444445,-0.003132832080200501,-0.002216557685913776,-0.00439266615737204,-0.010235732009925558,-0.00376940133037694
ENERGY & NATURAL RESOURCES_MISCELLANEOUS ENERGY & NATURAL RESOURCES,-0.0011507479861910242,0.0,-0.0012547051442910915,0.0,0.0,-0.004672897196261682,-0.014814814814814815,-0.015037593984962405,-0.0015515903801396431,-0.01680672268907563,-0.004807692307692308,0.0
ENERGY & NATURAL RESOURCES_NUCLEAR ENERGY,0.0,0.0,0.0,0.0,0.0,0.0,-0.022222222222222223,0.0,-0.0024382134545051534,-0.013445378151260505,0.0,0.0
ENERGY & NATURAL RESOURCES_OIL & GAS,-0.03278228409441747,-0.008226037195994277,-0.02499758710549175,-0.026750700280112043,-0.01990049751243781,-0.00895638629283489,-0.04861111111111111,-0.02422723475355054,-0.011169168986446402,-0.0350140056022409,-0.012286324786324786,-0.01917125622869132
ENERGY & NATURAL RESOURCES_RAILROADS,-0.02186421173762946,-0.004291845493562232,0.0,-0.004761904761904762,0.0,0.0,-0.014814814814814815,0.0,-0.01722265321955004,0.0,-0.028846153846153848,-0.006039488966318235
ENERGY & NATURAL RESOURCES_STEEL,-0.05983889528193326,-0.002145922746781116,0.0,0.0,-0.007462686567164179,0.0,0.0,0.0,-0.0064649599172485125,0.0,0.0,-0.0032520325203252032
ENERGY & NATURAL RESOURCES_WASTE MANAGEMENT,-0.0030686612965093976,-0.001072961373390558,-0.0028230865746549563,0.0,0.0,-0.01791277258566978,0.0,0.0,-0.0013447116627876908,-0.026890756302521007,0.0,-0.013821138211382115
ENERGY & NATURAL RESOURCES_WATER UTILITIES,-0.005370157268891446,-0.005211526670754139,-0.0012547051442910915,-0.0007936507936507938,0.0,0.0,-0.007407407407407408,-0.022556390977443608,-0.003842033322250545,0.0,-0.009615384615384616,-0.002481814291827129
"FINANCE, INSURANCE & REAL ESTATE_ACCOUNTANTS",0.0,0.0,0.0,-0.009523809523809525,0.0,-0.003115264797507788,0.0,0.0,-0.0002585983966899405,0.0,0.0,0.0
