state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
Michigan,148,38,16,22,,110,52,58,,2019,MI
Minnesota,201,67,33,34,,134,75,59,,2019,MN
Mississippi,174,52,19,33,,122,48,74,,2019,MS
Missouri,197,34,10,24,,163,47,116,,2019,MO
Montana,150,50,20,30,,100,42,58,,2019,MT
Nebraska,49,49,,,49,,,,,2019,NE
Nevada,63,21,13,8,,42,29,13,,2019,NV
New Hampshire,424,24,14,10,,400,234,166,,2019,NH
New Jersey,120,40,26,14,,80,54,26,,2019,NJ
New Mexico,112,42,26,16,,70,46,24,,2019,NM
New York,213,63,40,23,,150,107,43,,2019,NY
North Carolina,170,50,21,29,,120,55,65,,2019,NC
North Dakota,141,47,10,37,,94,15,79,,2019,ND
Ohio,132,33,9,24,,99,38,61,,2019,OH
Oklahoma,149,48,9,39,,101,24,77,,2019,OK
Oregon,90,30,18,12,,60,38,22,,2019,OR
Pennsylvania,253,50,21,29,,203,93,110,,2019,PA
Rhode Island,113,38,33,5,,75,66,9,,2019,RI
South Carolina,170,46,19,27,,124,44,80,,2019,SC
South Dakota,105,35,5,30,,70,11,59,,2019,SD
Tennessee,132,33,5,28,,99,26,73,,2019,TN
Texas,181,31,12,19,,150,67,83,,2019,TX
Utah,104,29,6,23,,75,17,58,,2019,UT
Vermont,180,30,22,6,2,150,95,43,12,2019,VT
Virginia,140,40,19,21,,100,49,51,,2019,VA
Washington,147,49,28,21,,98,57,41,,2019,WA
West Virginia,134,34,14,20,,100,41,59,,2019,WV
Wisconsin,132,33,14,19,,99,35,64,,2019,WI
Wyoming,90,30,3,27,,60,9,50,1,2019,WY
Alabama,140,35,8,27,,105,28,77,,2020,AL
Alaska,60,20,7,13,,40,15,23,2,2020,AK
Arizona,90,30,13,17,,60,29,31,,2020,AZ
Arkansas,135,35,9,26,,100,24,76,,2020,AR
California,120,40,29,10,1v,80,61,18,1,2020,CA
Colorado,100,35,19,16,,65,41,24,,2020,CO
Connecticut,187,36,22,14,,151,91,60,,2020,CT
Delaware,62,21,12,9,,41,26,15,,2020,DE
Florida,160,40,17,23,,120,47,73,,2020,FL
Georgia,236,56,21,35,,180,75,105,,2020,GA
Hawaii,76,25,24,1,,51,46,5,,2020,HI
Idaho,105,35,7,28,,70,14,56,,2020,ID
Illinois,177,59,40,19,,118,74,44,,2020,IL
Indiana,150,50,10,40,,100,33,67,,2020,IN
Iowa,150,50,18,32,,100,47,53,,2020,IA
Kansas,165,40,11,28,1,125,41,84,,2020,KS
Kentucky,138,38,9,29,,100,38,62,,2020,KY
Louisiana,144,39,12,27,,105,35,68,2,2020,LA
Maine,186,35,21,14,,151,88,57,"5,1v",2020,ME
Maryland,188,47,32,15,,141,98,42,1v,2020,MD
Massachusetts,200,40,34,4,2v,160,126,31,"1,2v",2020,MA
Michigan,148,38,16,22,,110,52,58,,2020,MI
Minnesota,201,67,32,35,,134,75,59,,2020,MN
Mississippi,174,52,16,36,,122,46,74,"1, 1v",2020,MS
Missouri,197,34,8,23,3v,163,48,114,1v,2020,MO
Montana,150,50,20,30,,100,42,57,1v,2020,MT
Nebraska,49,49,,,49,,,,,2020,NE
Nevada,63,21,13,8,,42,28,13,1v,2020,NV
New Hampshire,424,24,14,10,,400,234,162,"1, 3v",2020,NH
New Jersey,120,40,25,15,,80,52,28,,2020,NJ
New Mexico,112,42,26,16,,70,46,24,,2020,NM
New York,213,63,40,22,1v,150,104,42,"1,3v",2020,NY
North Carolina,170,50,21,29,,120,55,65,,2020,NC
North Dakota,141,47,10,37,,94,15,78,1v,2020,ND
Ohio,132,33,9,24,,99,38,61,,2020,OH
Oklahoma,149,48,9,38,1v,101,23,77,1v,2020,OK
Oregon,90,30,18,12,,60,37,22,1v,2020,OR
Pennsylvania,253,50,21,28,1,203,93,110,,2020,PA
Rhode Island,113,38,33,5,,75,66,9,,2020,RI
South Carolina,170,46,19,27,,124,44,80,,2020,SC
South Dakota,105,35,5,30,,70,11,59,,2020,SD
Tennessee,132,33,5,28,,99,26,73,,2020,TN
Texas,181,31,12,19,,150,66,84,,2020,TX
Utah,104,29,6,23,,75,16,59,,2020,UT
Vermont,180,30,22,6,2,150,94,43,"12, 1v",2020,VT
Virginia,140,40,21,19,,100,55,45,,2020,VA
Washington,147,49,29,20,,98,57,41,,2020,WA
West Virginia,134,34,14,20,,100,41,58,1,2020,WV
Wisconsin,132,33,14,19,,99,36,63,,2020,WI
Wyoming,90,30,3,27,,60,9,50,1,2020,WY
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
