state_long,Seats,Senate,sen_dem_ct,sen_rep_ct,other,House,hou_dem_ct,hou_rep_ct,other,year,st
Connecticut,187,36,22,14,0,151,100,51,0,2012,CT
Delaware,62,21,14,7,0,41,26,15,0,2012,DE
Florida,160,40,12,28,0,120,39,81,0,2012,FL
Georgia,236,56,20,36,0,180,63,115,"1, 1v",2012,GA
Hawaii,76,25,24,1,0,51,43,8,0,2012,HI
Idaho,105,35,7,28,0,70,13,57,0,2012,ID
Illinois,177,59,35,24,0,118,64,54,0,2012,IL
Indiana,150,50,13,37,0,100,40,60,0,2012,IN
Iowa,150,50,26,24,0,100,40,60,0,2012,IA
Kansas,165,40,8,32,0,125,33,92,0,2012,KS
Kentucky,138,38,15,22,1,100,59,41,0,2012,KY
Louisiana,144,39,15,24,0,105,45,58,2,2012,LA
Maine,186,35,14,20,1,151,72,78,1,2012,ME
Maryland,188,47,35,12,0,141,98,43,0,2012,MD
Massachusetts,200,40,35,4,1v,160,126,32,2v,2012,MA
Michigan,148,38,12,26,0,110,46,62,2v,2012,MI
Minnesota,201,67,28,37,1v,134,61,72,1v,2012,MN
Mississippi,174,52,21,31,0,122,58,64,0,2012,MS
Missouri,197,34,8,26,0,163,56,106,1,2012,MO
Montana,150,50,22,28,0,100,32,68,0,2012,MT
Nebraska,49,49,,,49,,,,,2012,NE
Nevada,63,21,11,10,0,42,26,16,0,2012,NV
New Hampshire,424,24,5,19,0,400,104,294,2v,2012,NH
New Jersey,120,40,24,16,0,80,48,30,2v,2012,NJ
New Mexico,112,42,27,15,0,70,36,33,1,2012,NM
New York,212,62,30,32,0,150,99,51,0,2012,NY
North Carolina,170,50,19,31,0,120,52,67,1,2012,NC
North Dakota,141,47,12,35,0,94,25,69,0,2012,ND
Ohio,132,33,10,23,0,99,40,59,0,2012,OH
Oklahoma,149,48,15,31,2v,101,31,69,1v,2012,OK
Oregon,90,30,16,14,0,60,30,30,0,2012,OR
Pennsylvania,253,50,20,30,0,203,91,112,0,2012,PA
Rhode Island,113,38,29,8,1,75,65,10,0,2012,RI
South Carolina,170,46,19,27,0,124,48,75,1v,2012,SC
South Dakota,105,35,5,30,0,70,19,50,1,2012,SD
Tennessee,132,33,13,20,0,99,34,64,1,2012,TN
Texas,181,31,12,19,0,150,49,101,0,2012,TX
Utah,104,29,7,22,0,75,17,58,0,2012,UT
Vermont,180,30,22,8,0,150,94,48,8,2012,VT
Virginia,140,40,20,20,0,100,32,67,1,2012,VA
Washington,147,49,27,22,0,98,56,42,0,2012,WA
West Virginia,134,34,28,6,0,100,65,35,0,2012,WV
Wisconsin,132,33,16,17,0,99,39,59,1,2012,WI
Wyoming,90,30,4,26,0,60,10,50,0,2012,WY
Alabama,140,35,11,23,1,105,39,64,2v,2013,AL
Alaska,60,20,7,13,0,40,15,25,0,2013,AK
Arizona,90,30,13,17,0,60,24,36,0,2013,AZ
Arkansas,135,35,14,21,0,100,48,51,1,2013,AR
California,120,40,26,12,2v,80,54,26,0,2013,CA
Colorado,100,35,19,16,0,65,36,29,0,2013,CO
Connecticut,187,36,22,14,0,151,99,52,0,2013,CT
Delaware,62,21,13,8,0,41,27,14,0,2013,DE
Florida,160,40,14,26,0,120,46,74,0,2013,FL
Georgia,236,56,18,38,0,180,60,119,1,2013,GA
Hawaii,76,25,24,1,0,51,44,7,0,2013,HI
Idaho,105,35,7,28,0,70,13,57,0,2013,ID
Illinois,177,59,40,19,0,118,71,47,0,2013,IL
Indiana,150,50,13,37,0,100,31,69,0,2013,IN
Iowa,150,50,26,23,1v,100,47,53,0,2013,IA
Kansas,165,40,9,31,0,125,35,90,0,2013,KS
Kentucky,138,38,14,22,"1, 1v",100,55,45,0,2013,KY
Louisiana,144,39,15,24,0,105,45,58,2,2013,LA
Maine,186,35,19,15,1,151,87,60,4,2013,ME
Maryland,188,47,35,12,0,141,98,43,0,2013,MD
Massachusetts,200,40,36,4,0,160,131,29,0,2013,MA
Michigan,148,38,12,26,0,110,51,59,0,2013,MI
Minnesota,201,67,39,28,0,134,73,61,0,2013,MN
Mississippi,174,52,21,30,1v,122,58,63,1v,2013,MS
Missouri,197,34,10,24,0,163,53,110,0,2013,MO
Montana,150,50,23,27,0,100,37,63,0,2013,MT
Nebraska,49,49,,,,,,,,2013,NE
Nevada,63,21,11,10,0,42,27,15,0,2013,NV
New Hampshire,424,24,11,13,0,400,222,178,0,2013,NH
New Jersey,120,40,24,16,0,80,48,32,0,2013,NJ
